"","EM","P","PCOM","FF","NBRX","M2"
"248",1140.716487,402.2669498,2.686111908,9.61,0.980153253,7.642713009
"249",1140.807593,403.1404765,4.632840805,10.87,0.942492464,7.923961589
"250",1141.126919,403.8479459,2.412177257,12.81,0.938052679,8.174985548
"251",1141.365746,404.585435,2.080312763,15.85,0.907042889,8.485295044
"252",1141.612818,405.1611049,0.198412764,18.9,0.923370429,8.207215173
"253",1141.864775,406.0787787,-3.87529863,19.08,0.938864024,8.044376828
"254",1141.96582,407.0905341,-8.579536016,15.93,0.941254579,7.977908964
"255",1142.087596,407.8045769,-8.131335588,14.7,0.955328017,8.726532506
"256",1142.101849,408.227196,-1.821912743,15.72,0.940054987,9.945165283
"257",1142.017401,408.6816283,3.102627356,18.52,0.901167454,9.570028696
"258",1142.174176,409.1172894,3.738753207,19.1,0.909029831,8.822289676
"259",1142.311016,409.7672365,3.295869895,19.04,0.92494066,8.454183293
"260",1142.21251,410.4459906,0.812187206,17.82,0.940105565,8.160762358
"261",1142.071149,411.1693188,-3.584613177,15.87,0.94863699,8.050525401
"262",1142.09856,411.5942984,-6.460472657,15.08,0.966675637,8.291913554
"263",1141.876862,412.1473254,-9.776416877,13.31,0.977706151,8.431510816
"264",1141.675592,412.4226932,-10.21721231,12.37,0.978300584,9.28373716
"265",1141.253038,413.003341,-9.005551937,13.22,0.9417707,9.687194769
"266",1141.28178,413.3404996,-7.571182174,14.78,0.930956499,9.190630576
"267",1141.13024,413.5486513,-10.67388756,14.68,0.94450383,8.765850477
"268",1140.790933,413.6445768,-14.71950152,14.94,0.940770918,8.362535817
"269",1140.717598,414.2340773,-16.09626953,14.45,0.957994822,8.698934109
"270",1140.425949,414.9621575,-18.04883757,14.15,0.950822604,8.914805754
"271",1140.065222,415.5596453,-18.17138388,12.59,0.971102696,8.678652934
"272",1139.837844,415.7945122,-19.9660084,10.12,0.981116878,8.756129536
"273",1139.633547,416.0756371,-16.51599653,10.31,0.96407476,8.822509286
"274",1139.399552,416.635515,-16.0526897,9.71,0.98532046,8.50465114
"275",1139.244003,416.9142829,-15.64957697,9.2,0.981459279,8.409436078
"276",1139.273328,417.0688162,-14.50448074,8.95,0.981016949,8.453767514
"277",1139.443468,417.5002479,-12.00027924,8.68,0.983983467,10.34750063
"278",1139.366884,417.638523,-7.462668921,8.51,0.987280867,11.99708336
"279",1139.578472,417.8379324,-4.345956948,8.77,0.98054395,12.2286154
"280",1139.875963,418.4489968,-0.831852688,8.8,0.975702811,11.9099925
"281",1140.196038,418.8290231,1.425202271,8.63,0.982300885,11.98669506
"282",1140.629748,419.162246,5.233060723,8.98,0.973177197,11.90403636
"283",1141.103669,419.5094475,6.012417498,9.37,0.965451964,11.98960161
"284",1140.72649,419.8254021,10.42487868,9.56,0.958385876,11.61453861
"285",1141.958135,420.1553382,11.16139846,9.45,0.963593474,11.29925494
"286",1142.308828,420.4394117,14.01944683,9.48,0.976899505,11.46321928
"287",1142.657205,420.7375589,17.89446013,9.34,0.964600725,11.36012301
"288",1143.073879,420.8714322,19.6392985,9.47,0.96956676,10.73122686
"289",1143.522335,421.286811,18.54416841,9.56,0.972063966,8.674981697
"290",1144.081703,421.7446768,15.96698384,9.59,0.978202795,7.736092118
"291",1144.3704,421.9948766,16.86227124,9.91,0.964113904,7.6087406
"292",1144.731971,422.361688,16.3651939,10.29,0.953751604,7.695411384
"293",1145.053929,422.5226606,14.05819506,10.32,0.886031967,7.585240702
"294",1145.450154,422.7125624,12.81577685,11.06,0.9453125,7.570939129
"295",1145.790946,423.0040295,10.00834586,11.23,0.964766521,7.408691449
"296",1146.042091,423.2946385,4.884313167,11.64,0.962620409,7.283102098
"297",1146.358815,423.4975657,3.033818806,11.3,0.970006895,7.459695809
"298",1146.687106,423.8011864,-1.525084025,9.99,0.963460587,7.33663923
"299",1147.032063,423.9598602,-3.222620438,9.43,0.970557189,7.714330564
"300",1147.207222,424.1758297,-5.134817762,8.38,0.97837396,8.289364602
"301",1147.469386,424.5347418,-7.546683092,8.35,0.987255735,8.688680055
"302",1147.623036,424.9922772,-9.520698595,8.5,0.982421804,8.667969768
"303",1147.972022,425.4051199,-11.71493622,8.58,0.980647967,8.403594328
"304",1148.139352,425.6179938,-12.38806155,8.27,0.983678887,8.048818671
"305",1148.414526,425.9011154,-12.07330795,7.97,0.971593935,8.08333617
"306",1148.53487,426.2116325,-14.56918238,7.53,0.981320395,8.551449028
"307",1148.724862,426.3665303,-13.97619424,7.88,0.979416103,8.870817458
"308",1148.96159,426.5773695,-12.62937253,7.9,0.983041705,9.155047281
"309",1149.147708,426.8297891,-12.85127523,7.92,0.978894104,9.040487046
"310",1149.372226,427.1793176,-10.5238557,7.99,0.981701918,8.855234856
"311",1149.563687,427.5693428,-11.92852551,8.05,0.960857892,8.248800251
"312",1149.781183,427.8747306,-11.25825313,8.27,0.974047785,7.721066652
"313",1149.88164,428.1791887,-8.894748602,8.14,0.991347617,7.023176844
"314",1150.002258,428.1377176,-8.155728577,7.86,0.987615708,6.515994413
"315",1150.08124,427.9163003,-10.19456006,7.48,0.992428255,6.802346924
"316",1150.261247,427.8054023,-10.89346834,6.99,0.992067152,7.386885915
"317",1150.384436,428.068582,-9.323141707,6.85,0.991223588,7.8422897
"318",1150.260236,428.4964901,-5.951969003,6.92,0.991959237,7.659246455
"319",1150.565913,428.6066248,-3.883983332,6.56,0.989527739,7.800271122
"320",1150.725944,428.7990639,-6.325729098,6.17,0.988436843,7.962402224
"321",1151.039226,429.1691508,-3.206193246,5.89,0.987706298,8.260593927
"322",1151.272545,429.3332011,1.452810056,5.85,0.990513747,8.541997488
"323",1151.437441,429.6060216,5.270680905,6.04,0.991036685,8.651654625
"324",1151.685772,429.823733,5.96124028,6.91,0.986503889,9.062305495
"325",1151.834078,430.5145615,6.972699608,6.43,0.990950572,9.237238081
"326",1152.061582,430.9455962,6.553863662,6.1,0.992999821,8.95858068
"327",1152.29253,431.2542534,9.393181983,6.13,0.993226538,8.372118404
"328",1152.650287,431.6153911,12.8242495,6.37,0.981712869,7.919153022
"329",1152.844442,431.8953714,15.70471337,6.85,0.981212639,7.041957486
"330",1152.99104,432.2939941,15.50442551,6.73,0.987253883,6.30822351
"331",1153.318877,432.492701,16.40029763,6.58,0.987769619,5.647484944
"332",1153.533254,432.9153109,21.77513185,6.73,0.986866265,5.210236461
"333",1153.693492,433.2705099,20.74827109,7.22,0.98642638,4.810892973
"334",1154.229007,433.6506151,17.89102963,7.29,0.98759542,4.619666876
"335",1154.442413,433.8988609,13.71712015,6.69,0.994125575,4.278628826
"336",1154.775192,434.0683699,14.31780012,6.77,0.992441382,3.559683245
"337",1154.851459,434.3415751,13.93648018,6.83,0.982027428,3.735928083
"338",1155.258839,434.4454601,15.36562422,6.58,0.995152284,4.403652005
"339",1155.51321,434.7823282,16.88208696,6.58,0.993047774,4.893333352
"340",1155.729635,435.311264,15.68787566,6.87,0.990662696,5.060894185
"341",1155.991401,435.6195863,12.71389873,7.09,0.988213803,5.382787291
"342",1156.297198,436.0547642,13.04451775,7.51,0.986867258,5.758006649
"343",1156.551792,436.5261865,11.21650434,7.75,0.97776297,5.916303923
"344",1156.740418,436.7800962,9.615244273,8.01,0.985472155,5.762808223
"345",1156.943811,437.2607413,7.643287875,8.19,0.980666749,5.52748689
"346",1157.20525,437.5757022,6.328144995,8.3,0.987184245,5.259026305
"347",1157.466006,437.8144138,11.87998126,8.35,0.986702849,5.594908947
"348",1157.769209,438.1276384,13.05178293,8.76,0.988326944,5.605157296
"349",1158.051869,438.6267583,13.88548345,9.12,0.984878858,4.963268326
"350",1158.286189,438.9374527,15.54215972,9.36,0.989165737,4.18319711
"351",1158.466922,439.3090199,14.94238533,9.85,0.988005019,3.740077675
"352",1158.651973,439.9620921,12.54459084,9.84,0.985256183,3.24919082
"353",1158.745763,440.3176382,10.93639525,9.81,0.986695836,2.899669928
"354",1158.838538,440.5376876,8.473534885,9.53,0.985343394,3.015989837
"355",1158.926594,440.7816162,7.15560938,9.24,0.985094679,3.493950364
"356",1159.033085,440.8059819,5.726234774,8.99,0.983937679,4.04058592
"357",1159.15333,441.109989,6.836374281,9.02,0.983090996,4.479212221
"358",1159.256809,441.5703135,7.538747669,8.84,0.986704843,4.895982811
"359",1159.515962,441.823798,1.167503158,8.55,0.991807769,5.003239095
"360",1159.627347,442.1487718,-4.041861345,8.45,0.993921273,5.327536432
"361",1159.860763,442.7477912,-7.350978663,8.23,0.989832007,5.687587297
"362",1160.15131,443.1649782,-10.62076144,8.24,0.977589042,6.053455382
"363",1160.33236,443.6041252,-10.48032574,8.28,0.995744576,6.130779126
"364",1160.36707,443.899756,-8.124501342,8.26,0.994492449,6.295796271
"365",1160.632473,444.1827391,-7.187127627,8.18,0.988714426,6.05181768
"366",1160.704403,444.6526114,-6.33292267,8.29,0.986822696,5.924087955
"367",1160.556845,444.9334751,-5.202967145,8.15,0.988247179,5.410178867
"368",1160.407245,445.5857751,-3.597510246,8.13,0.9804334,5.276676131
"369",1160.328706,446.1992459,-3.496546241,8.2,0.984987835,5.05612972
"370",1160.161377,446.797495,-4.747868857,8.11,0.990394511,4.510432113
"371",1159.978183,446.9808506,-4.941535956,7.81,0.994970703,4.033848241
"372",1159.878201,447.1638793,-3.071437341,7.31,0.992741993,3.706585549
"373",1159.68897,447.6086026,-2.353049741,6.91,0.988008515,3.732228916
"374",1159.450545,447.7450469,-3.253875579,6.25,0.994818037,3.863847924
"375",1159.29374,447.8018373,-6.52196568,6.12,0.995503898,4.038131366
"376",1159.12282,448.0400261,-8.342160814,5.91,0.996513016,3.980155074
"377",1159.087676,448.4583216,-8.843414996,5.78,0.994931875,4.392226807
"378",1159.173665,448.6161386,-9.255155737,5.9,0.992205421,4.241646867
"379",1159.109873,448.7624663,-9.154196616,5.82,0.986952882,4.030701266
"380",1159.187527,448.9983807,-11.02564863,5.66,0.989311465,3.416485578
"381",1159.194919,449.3791588,-12.72943662,5.45,0.992127249,3.048456772
"382",1159.181982,449.5801642,-12.28416806,5.21,0.994341809,3.044919255
"383",1159.095075,449.8809211,-9.334213643,4.81,0.997623318,3.080827724
"384",1159.100625,450.2140276,-8.272430878,4.43,0.995801552,2.9855835
"385",1159.066398,450.4797178,-8.23469477,4.03,0.994973465,2.817737205
"386",1159.059922,450.7998251,-5.395914237,4.06,0.998424436,2.84811285
"387",1159.098775,451.0749587,-1.296776277,3.98,0.998156396,2.422741523
"388",1159.266967,451.3054864,1.093994004,3.73,0.998205546,2.008440925
"389",1159.445937,451.4588768,2.383429606,3.82,0.99685866,1.599252245
"390",1159.488326,451.6557491,2.887209009,3.76,0.995352707,1.217308049
"391",1159.538064,452.0156795,2.589786172,3.25,0.994293178,1.160241277
"392",1159.672419,451.7649618,3.910272601,3.3,0.995048426,1.327465541
"393",1159.733095,452.2983522,5.640971683,3.22,0.994396778,1.63268692
"394",1159.856173,452.6235238,3.76634847,3.1,0.997289511,1.915822084
"395",1160.019431,452.7965112,0.616018375,3.09,0.998064252,1.839131621
"396",1160.154056,452.9260618,0.91978165,2.92,0.997738596,1.589813762
"397",1160.369809,453.1523662,2.552461183,3.02,0.997015306,1.140440615
"398",1160.656152,453.3351895,1.629363949,3.03,0.99917697,0.478586129
"399",1160.595122,453.5176791,-2.130978659,3.07,0.99832639,0.317472671
"400",1160.873552,453.7747546,-5.489182757,2.96,0.998681454,0.399759036
"401",1161.18473,454.0418345,-7.433446417,3,0.997864379,1.212486491
"402",1161.312368,454.0418345,-7.539210573,3.04,0.996812051,1.485007446
"403",1161.497651,454.1591165,-7.44862299,3.06,0.99577416,1.44661547
"404",1161.689802,454.3082029,-7.660712147,3.03,0.993951266,1.417777287
"405",1161.912163,454.4039183,-8.372233896,3.09,0.992746976,1.335977059
"406",1162.200406,454.7752896,-5.124071677,2.99,0.995216837,1.014306879
"407",1162.428793,454.9551724,-1.755336758,3.02,0.998506819,1.315600969
"408",1162.655768,454.9868899,-0.509945011,2.96,0.998645345,1.551445584
"409",1162.894695,454.9551724,0,3.05,0.998800644,1.728102265
"410",1163.09929,455.1980354,2.592368501,3.25,0.998843013,1.85993305
"411",1163.498379,455.4192618,5.098555473,3.34,0.999087879,2.096933863
"412",1163.823566,455.5244348,7.738666362,3.56,0.997950684,2.250951436
"413",1164.129229,455.6819912,10.33500393,4.01,0.996665444,1.742552257
"414",1164.377827,455.9545018,12.32939835,4.25,0.994438524,1.269768753
"415",1164.687052,456.341029,14.6555322,4.26,0.99240842,1.397139609
"416",1164.983988,456.6221439,16.32087128,4.47,0.992179032,1.235746372
"417",1165.251348,456.757213,19.5720911,4.73,0.991856732,1.021843166
"418",1165.47288,456.8921079,20.80993011,4.76,0.993598383,0.902675509
"419",1165.824584,457.0371699,23.30938822,5.29,0.995806457,0.584377142
"420",1166.063832,457.1199704,23.08844741,5.45,0.996482666,0.414716122
"421",1166.336928,457.419535,23.59642397,5.53,0.997794093,0.51077676
"422",1166.584396,457.6462003,19.51976209,5.92,0.998993912,0.438713298
"423",1166.718185,457.8209967,18.70213467,5.98,0.998814779,0.322184844
"424",1166.876614,458.0672573,18.97087752,6.05,0.998103154,0.39615881
"425",1166.847517,458.2208609,17.53062219,6.01,0.997398904,0.841353165
"426",1167.013432,458.3231297,15.72195994,6,0.995244234,1.892051738
"427",1167.110801,458.4967479,12.6991297,5.85,0.993569243,2.294141022
"428",1167.37169,458.7006184,9.539215038,5.74,0.99510136,2.936359726
"429",1167.558838,458.7820535,5.618498828,5.8,0.995168324,3.251706384
"430",1167.665017,458.9954998,3.02798575,5.76,0.995663746,3.579372037
"431",1167.798217,459.0361058,-0.413394553,5.8,0.996376361,3.759944695
"432",1167.94394,459.1983649,-3.974032865,5.6,0.99544746,4.00828374
"433",1167.870258,459.4412532,-6.666392045,5.56,0.999319679,4.361736799
"434",1168.267668,459.6532986,-6.006809654,5.22,0.999377426,4.793613286
"435",1168.491887,459.9252749,-6.168621987,5.31,0.999602163,5.440080456
"436",1168.624832,460.1965058,-6.956446339,5.22,0.998369092,5.511837368
"437",1168.913673,460.3468758,-5.847692976,5.24,0.997650193,5.128763722
"438",1169.145651,460.3669045,-6.437866181,5.27,0.992871916,4.756843751
"439",1169.319492,460.5769982,-6.062462182,5.4,0.993107323,4.620551251
"440",1169.558863,460.6569201,-2.826455817,5.22,0.993617511,4.248409663
"441",1169.667933,460.866406,-0.914767294,5.3,0.992848792,4.185974141
"442",1169.889868,461.1947173,-2.008435712,5.24,0.994263786,4.227624641
"443",1170.115454,461.4030808,-2.857337244,5.31,0.995698925,4.371761569
"444",1170.285137,461.5714376,0,5.29,0.996909519,4.638034275
"445",1170.443799,461.7888946,2.35502894,5.25,0.99909382,4.52290014
"446",1170.70356,462.0452819,3.961748607,5.19,0.999137701,4.427802094
"447",1170.971683,462.1437152,3.796322598,5.39,0.99671905,4.131069658
"448",1171.198122,462.2518824,2.121420244,5.51,0.994488438,4.254063155
"449",1171.41342,462.2322278,2.264247675,5.5,0.994769224,4.290977972
"450",1171.619279,462.3402918,3.022900196,5.56,0.992178009,4.404360429
"451",1171.867054,462.4580571,3.367321511,5.52,0.991250963,4.484783031
"452",1171.932156,462.5462919,2.908389455,5.54,0.987255174,5.016215835
"453",1172.256221,462.7420795,2.148843013,5.54,0.990531777,5.225954741
"454",1172.535583,462.8886728,2.99772655,5.5,0.99414632,5.372158331
"455",1172.764967,462.9179641,2.358997343,5.52,0.996702018,5.497029553
"456",1173.021994,462.9277285,-1.104045185,5.5,0.993084016,5.534495311
"457",1173.234208,462.9765212,-5.203732576,5.56,0.995521652,5.736717116
"458",1173.40109,463.0155427,-7.372660814,5.51,0.998753662,6.243244894
"459",1173.536477,463.0350514,-7.831957943,5.49,0.999084109,6.482637712
"460",1173.750798,463.2201504,-7.313963665,5.45,0.998439261,6.623524248
"461",1174.044343,463.3466082,-9.018238757,5.49,0.996639135,6.828657905
"462",1174.219422,463.366045,-11.09823912,5.56,0.994474408,6.986927135
"463",1174.273475,463.5699376,-12.0373308,5.54,0.994254793,6.980254914
"464",1174.591637,463.7056354,-14.8026962,5.55,0.993970677,6.804727175
"465",1174.762598,463.72501,-17.36916897,5.51,0.99435638,7.316014973
"466",1174.95458,463.9281727,-17.43143239,5.07,0.996086018,7.820272111
"467",1175.146981,464.0054617,-17.41948017,4.83,0.99811202,8.224420086
"468",1175.41918,464.1598534,-15.18760129,4.68,0.997410531,8.41626821
"469",1175.533032,464.4198605,-12.08525404,4.63,0.995507834,8.340685996
"470",1175.872248,464.4583156,-10.59538114,4.76,0.997439494,8.159533031
"471",1176.00277,464.4967632,-11.96872647,4.81,0.998517877,7.784053779
"472",1176.206419,465.0143537,-10.96858254,4.74,0.996216697,7.778834311
"473",1176.34974,465.0143537,-10.17373233,4.74,0.997136027,7.779171827
"474",1176.555015,465.0334764,-7.681317776,4.76,0.996642261,7.608634907
"475",1176.770721,465.2626133,-5.765285143,4.99,0.992636055,7.700144839
"476",1176.930261,465.4341239,-3.478611609,5.07,0.991811863,7.525020641
"477",1177.074094,465.7762651,1.064354508,5.22,0.991866603,6.914749006
"478",1177.423533,465.9374237,-0.784317746,5.2,0.993172652,6.392128278
"479",1177.600486,465.9942396,3.026097178,5.42,0.994323809,6.055288175
"480",1177.809349,466.1550548,3.707741778,5.3,0.99231653,5.918433749
"481",1178.041503,466.4382031,3.971466229,5.46,0.991343194,5.892398168
"482",1178.175341,466.8989664,3.498899185,5.73,0.99740216,5.606253293
"483",1178.631336,467.3296044,5.114192067,5.85,0.995558974,5.994643782
"484",1178.81528,467.3296044,4.821396133,6.02,0.992545914,6.270953178
"485",1178.986757,467.3015702,4.094254181,6.27,0.991171378,5.854314594
"486",1179.032233,467.5721819,3.046918747,6.53,0.987989569,5.820082071
"487",1178.979176,467.8234774,0.984259914,6.54,0.985818961,5.648596977
"488",1178.932159,467.7025595,0,6.5,0.985394647,5.878387941
"489",1179.090563,468.0277687,-1.45421855,6.52,0.987863708,6.173560834
"490",1179.165508,468.1946056,0,6.51,0.989262192,6.14892622
"491",1179.266861,468.3241747,-2.73909614,6.51,0.992722241,5.89509278
"492",1179.333365,468.4628076,-2.355102307,6.4,0.994546446,6.082686224
"493",1179.379438,468.923553,-3.557305297,5.98,0.998119865,6.61492132
"494",1179.505465,469.1623063,-3.716742622,5.49,0.998662104,7.18921338
